order_id,customer_id,product_id,category,quantity,price,order_date,customer_name,customer_email,customer_segment,order_status,region
51,119,1007,Elettronica,1,204.81,2023-09-13,Customer_119,customer119@example.com,Ricorrente,In lavorazione,Lombardia
52,149,1008,Abbigliamento,5,131.91,2023-09-27,Customer_149,customer149@example.com,Ricorrente,Completato,Lombardia
53,116,1005,Casa,3,30.71,2023-09-20,Customer_116,customer116@example.com,Ricorrente,In lavorazione,Campania
54,150,1010,Abbigliamento,5,295.59,2023-09-04,Customer_150,customer150@example.com,Ricorrente,Cancellato,Lazio
55,116,1001,Casa,4,20.47,2023-09-30,Customer_116,customer116@example.com,Nuovo,In lavorazione,Sicilia
56,104,1010,Casa,3,205.75,2023-09-04,Customer_104,customer104@example.com,Ricorrente,Cancellato,Toscana
57,142,1013,Abbigliamento,4,215.22,2023-09-18,Customer_142,customer142@example.com,Nuovo,Completato,Sicilia
58,142,1012,Casa,2,192.34,2023-09-10,Customer_142,customer142@example.com,Ricorrente,Cancellato,Lombardia
59,119,1009,Elettronica,4,240.01,2023-09-20,Customer_119,customer119@example.com,Ricorrente,In lavorazione,Sicilia
60,128,1006,Casa,4,242.25,2023-10-01,Customer_128,customer128@example.com,Nuovo,Cancellato,Lombardia
61,118,1016,Casa,5,113.85,2023-09-27,Customer_118,customer118@example.com,Nuovo,Cancellato,Toscana
62,114,1006,Elettronica,1,32.94,2023-09-16,Customer_114,customer114@example.com,Nuovo,In lavorazione,Sicilia
63,140,1018,Elettronica,4,158.43,2023-09-08,Customer_140,customer140@example.com,Nuovo,Cancellato,Campania
64,100,1003,Abbigliamento,2,69.25,2023-10-01,Customer_100,customer100@example.com,Ricorrente,Completato,Veneto
65,115,1003,Abbigliamento,2,244.4,2023-09-22,Customer_115,customer115@example.com,Ricorrente,In lavorazione,Veneto
66,146,1016,Abbigliamento,5,144.86,2023-09-06,Customer_146,customer146@example.com,Ricorrente,In lavorazione,Toscana
67,148,1007,Casa,3,234.43,2023-09-17,Customer_148,customer148@example.com,Ricorrente,Cancellato,Lazio
68,117,1014,Elettronica,3,85.66,2023-09-11,Customer_117,customer117@example.com,Ricorrente,Cancellato,Lombardia
69,108,1004,Elettronica,4,214.31,2023-09-23,Customer_108,customer108@example.com,Nuovo,Completato,Sicilia
70,126,1010,Casa,4,136.42,2023-09-07,Customer_126,customer126@example.com,Ricorrente,In lavorazione,Veneto
71,144,1000,Casa,4,153.55,2023-10-01,Customer_144,customer144@example.com,Ricorrente,In lavorazione,Sicilia
72,126,1017,Casa,5,243.96,2023-09-29,Customer_126,customer126@example.com,Nuovo,In lavorazione,Lazio
73,117,1013,Abbigliamento,1,128.88,2023-09-22,Customer_117,customer117@example.com,Ricorrente,Cancellato,Lazio
74,129,1004,Casa,5,27.55,2023-09-13,Customer_129,customer129@example.com,Nuovo,Completato,Campania
75,127,1004,Abbigliamento,2,34.08,2023-09-13,Customer_127,customer127@example.com,Ricorrente,Completato,Sicilia
76,120,1010,Abbigliamento,3,230.56,2023-09-27,Customer_120,customer120@example.com,Ricorrente,In lavorazione,Lombardia
77,130,1000,Casa,5,34.58,2023-10-01,Customer_130,customer130@example.com,Ricorrente,Completato,Campania
78,104,1020,Elettronica,1,285.89,2023-09-07,Customer_104,customer104@example.com,Nuovo,Cancellato,Lazio
79,115,1004,Abbigliamento,1,177.91,2023-09-07,Customer_115,customer115@example.com,Ricorrente,Cancellato,Toscana
80,149,1011,Elettronica,5,190.03,2023-09-24,Customer_149,customer149@example.com,Nuovo,Completato,Toscana
81,106,1018,Elettronica,3,181.22,2023-09-30,Customer_106,customer106@example.com,Ricorrente,In lavorazione,Campania
82,112,1002,Casa,2,48.53,2023-09-25,Customer_112,customer112@example.com,Ricorrente,Cancellato,Veneto
83,107,1018,Elettronica,3,169.17,2023-09-22,Customer_107,customer107@example.com,Ricorrente,Completato,Veneto
84,141,1010,Elettronica,4,250.25,2023-09-04,Customer_141,customer141@example.com,Ricorrente,In lavorazione,Campania
85,129,1004,Abbigliamento,2,225.46,2023-10-01,Customer_129,customer129@example.com,Ricorrente,Cancellato,Veneto
86,149,1015,Abbigliamento,4,251.21,2023-09-19,Customer_149,customer149@example.com,Ricorrente,In lavorazione,Lazio
87,105,1008,Abbigliamento,2,230.13,2023-09-19,Customer_105,customer105@example.com,Ricorrente,In lavorazione,Lombardia
88,131,1010,Elettronica,4,79.39,2023-09-26,Customer_131,customer131@example.com,Ricorrente,In lavorazione,Toscana
89,138,1008,Casa,1,164.66,2023-09-07,Customer_138,customer138@example.com,Nuovo,Completato,Campania
90,126,1015,Casa,2,213.37,2023-09-21,Customer_126,customer126@example.com,Ricorrente,In lavorazione,Lombardia
91,105,1009,Elettronica,4,213.7,2023-09-10,Customer_105,customer105@example.com,Ricorrente,In lavorazione,Veneto
92,133,1011,Abbigliamento,5,112.62,2023-09-23,Customer_133,customer133@example.com,Ricorrente,In lavorazione,Toscana
93,116,1007,Elettronica,2,108.35,2023-09-24,Customer_116,customer116@example.com,Nuovo,Completato,Lazio
94,147,1015,Abbigliamento,5,293.45,2023-09-17,Customer_147,customer147@example.com,Ricorrente,Completato,Lazio
95,118,1007,Abbigliamento,2,104.63,2023-09-23,Customer_118,customer118@example.com,Nuovo,In lavorazione,Lombardia
96,103,1017,Abbigliamento,2,198.6,2023-09-25,Customer_103,customer103@example.com,Ricorrente,Completato,Lombardia
97,136,1009,Abbigliamento,4,143.33,2023-09-06,Customer_136,customer136@example.com,Nuovo,In lavorazione,Sicilia
98,107,1002,Abbigliamento,4,40.74,2023-09-21,Customer_107,customer107@example.com,Nuovo,Completato,Lazio
99,136,1009,Elettronica,2,53.17,2023-09-25,Customer_136,customer136@example.com,Ricorrente,Cancellato,Veneto
100,150,1019,Elettronica,5,126.51,2023-09-30,Customer_150,customer150@example.com,Ricorrente,In lavorazione,Veneto
